,verse,sentiment
Genesis 2:15,lord god take man garden eden work care,0.6486
Genesis 2:16,lord god command man free eat tree garden,0.6597
Genesis 2:17,eat tree knowledge good evil eat certainly die,-0.6124
Genesis 2:18,lord god say good man helper suitable,0.7506
Genesis 2:19,lord god form ground wild animal bird sky bring man man call live creature,0.2732
Genesis 2:20,man give name livestock bird sky wild animal adamf suitable helper find,0.34
Genesis 2:21,lord god cause man fall deep sleep sleep take man ribsg close place flesh,0.2732
Genesis 2:22,lord god woman ribh take man bring man,0.2732
Genesis 2:23,man say bone bone flesh flesh shall call woman take man,0.0
Genesis 2:24,man leave father mother united wife flesh,0.3818
Genesis 2:25,adam wife naked feel shame,-0.4767
Genesis 3:1,serpent crafty wild animal lord god say woman god eat tree garden,0.4939
Genesis 3:2,woman say serpent eat fruit tree garden,0.0
Genesis 3:3,god eat fruit tree middle garden touch die,-0.4215
Genesis 3:4,certainly die serpent say woman,-0.3612
Genesis 3:5,god know eat eye open like god know good evil,0.4939
Genesis 3:6,woman see fruit tree good food pleasing eye desirable gain wisdom take eat give husband eat,0.9371
Genesis 3:7,eye open realize naked sew fig leave covering,-0.0516
Genesis 3:8,man wife hear sound lord god walk garden cool day hide lord god tree garden,0.5859
Genesis 3:9,lord god call man,0.2732
Genesis 3:10,answer hear garden afraid naked hide,-0.1779
Genesis 3:11,say tell naked eat tree command eat,0.0
Genesis 3:12,man say woman give fruit tree eat,0.0
Genesis 3:13,lord god say woman woman say serpent deceive eat,-0.1531
Genesis 3:14,lord god say serpent curse livestock wild animal crawl belly eat dust day life,-0.34
Genesis 3:15,enmity woman offspringa crushb head strike heel,-0.128
Genesis 3:16,woman say pain childbeare severe painful labor birth child desire husband rule,-0.7269
Genesis 3:17,adam say listen wife eat fruit tree command eat curse ground painful toil eat food day life,-0.7506
Genesis 3:18,produce thorn thistle eat plant field,0.0
Genesis 3:19,sweat brow eat food return ground take dust dust return,0.0
Genesis 3:20,adamc name wife eve d mother living,0.0
Genesis 3:21,lord god garment skin adam wife clothe,0.2732
Genesis 3:22,lord god say man like know good evil allow reach hand tree life eat live forever,0.743
Genesis 3:23,lord god banish garden eden work ground take,-0.2023
Genesis 3:24,drive man place east sidee garden eden cherubim flame sword flash forth guard way tree life,0.0
Genesis 4:1,adama love wife eve pregnant give birth say help lord bring forthc man,0.7845
Genesis 4:2,later give birth brother abel abel keep flock cain work soil,0.0
Genesis 4:3,course time cain bring fruit soil offering lord,0.0
Genesis 4:4,abel bring offering fat portion firstborn flock lord look favor abel offering,0.4019
Genesis 4:5,cain offering look favor cain angry face downcast,-0.5267
Genesis 4:6,lord say cain angry face downcast,-0.7269
Genesis 4:7,right accept right sin crouch door desire rule,0.1779
Genesis 4:8,cain say brother abel let field field cain attack brother abel kill,-0.8316
Genesis 4:9,lord say cain brother abel know reply brother keeper,0.0
Genesis 4:10,lord say listen brother blood cry ground,-0.4767
Genesis 4:11,curse drive ground open mouth receive brother blood hand,-0.0772
Genesis 4:12,work ground longer yield crop restless wanderer earth,-0.2732
Genesis 4:13,cain say lord punishment bear,-0.4939
Genesis 4:14,today drive land hide presence restless wanderer earth find kill,-0.8176
Genesis 4:15,lord say soe kill cain suffer vengeance seven time lord mark cain find kill,-0.9313
Genesis 4:16,cain go lord presence live land nod f east eden,0.0
Genesis 4:17,cain love wife pregnant give birth enoch cain build city name son enoch,0.6369
Genesis 4:18,enoch bear irad irad father mehujael mehujael father methushael methushael father lamech,0.0
Genesis 4:19,lamech marry woman name adah zillah,0.0
Genesis 4:20,adah give birth jabal father live tent raise livestock,0.0
Genesis 4:21,brother jubal father play stringed instrument pipe,0.34
Genesis 4:22,zillah son tubal cain forge kind tool ofg bronze iron tubal cain sister naamah,0.5267
Genesis 4:23,lamech say wife adah zillah listen wife lamech hear word kill man wound young man injure,-0.6908
Genesis 4:24,cain avenge seven time lamech seventy seven time,0.0
Genesis 4:25,adam love wife give birth son name seth h say god grant child place abel cain kill,0.4767
Genesis 4:26,seth son name enosh time people begin oni lord,0.0
Genesis 5:1,write account adam family line god create mankind likeness god,0.6486
Genesis 5:2,create male female bless name create,0.7184
Genesis 5:3,adam live year son likeness image name seth,0.0
Genesis 5:4,seth bear adam live year son daughter,0.0
Genesis 5:5,altogether adam live total year die,-0.6344
Genesis 5:6,seth live year fatherb enosh,0.0
Genesis 5:7,father enosh seth live year son daughter,0.0
Genesis 5:8,altogether seth live total year die,-0.6344
Genesis 5:9,enosh live year father kenan,0.0
Genesis 5:10,father kenan enosh live year son daughter,0.0
Genesis 5:11,altogether enosh live total year die,-0.6344
Genesis 5:12,kenan live year father mahalalel,0.0
Genesis 5:13,father mahalalel kenan live year son daughter,0.0
Genesis 5:14,altogether kenan live total year die,-0.6344
Genesis 5:15,mahalalel live year father jared,0.0
Genesis 5:16,father jared mahalalel live year son daughter,0.0
Genesis 5:17,altogether mahalalel live total year die,-0.6344
Genesis 5:18,jared live year father enoch,0.0
Genesis 5:19,father enoch jared live year son daughter,0.0
Genesis 5:20,altogether jared live total year die,-0.6344
Genesis 5:21,enoch live year father methuselah,0.0
Genesis 5:22,father methuselah enoch walk faithfully god year son daughter,0.5994
Genesis 5:23,altogether enoch live total year,0.0
Genesis 5:24,enoch walk faithfully god god take away,0.7184
Genesis 5:25,methuselah live year father lamech,0.0
Genesis 5:26,father lamech methuselah live year son daughter,0.0
Genesis 5:27,altogether methuselah live total year die,-0.6344
Genesis 5:28,lamech live year son,0.0
Genesis 5:29,name noahc say comfort labor painful toil hand cause ground lord curse,-0.1779
Genesis 5:30,noah bear lamech live year son daughter,0.0
Genesis 5:31,altogether lamech live total year die,-0.6344
Genesis 5:32,noah year old father shem ham japheth,0.0
Genesis 6:1,human being begin increase number earth daughter bear,0.3818
Genesis 6:2,son god see daughter human beautiful marry choose,0.7184
Genesis 6:3,lord say spirit contend witha human forever mortalb day year,0.2263
Genesis 6:4,nephilim earth day afterward son god go daughter human child hero old man renown,0.6908
Genesis 6:5,lord see great wickedness human race earth inclination thought human heart evil time,0.2023
Genesis 6:6,lord regret human being earth heart deeply troubled,-0.2247
Genesis 6:7,lord say wipe face earth human race create animal bird creature ground regret,-0.1779
Genesis 6:8,noah find favor eye lord,0.4019
Genesis 6:9,account noah family noah righteous man blameless people time walk faithfully god,0.6808
Genesis 6:10,noah son shem ham japheth,0.0
Genesis 6:11,earth corrupt god sight violence,-0.4588
Genesis 6:12,god see corrupt earth people earth corrupt way,0.2732
Genesis 6:13,god say noah go end people earth fill violence surely go destroy earth,-0.5574
Genesis 6:14,ark cypressc wood room coat pitch inside,0.0
Genesis 6:15,build ark cubit long cubit wide thirty cubit,0.0
Genesis 6:16,roof leave roof open cubite high door ark low middle upper deck,-0.3182
Genesis 6:17,go bring floodwater earth destroy life heaven creature breath life earth perish,-0.0516
Genesis 6:18,establish covenant enter ark son wife son wife,0.0
Genesis 6:19,bring ark live creature male female alive,0.3818
Genesis 6:20,kind bird kind animal kind creature move ground come keep alive,0.9153
Genesis 6:21,kind food eat store away food,0.5267
Genesis 6:22,noah god command,0.2732
Genesis 7:1,lord say noah ark family find righteous generation,0.0
Genesis 7:2,seven pair kind clean animal male mate pair kind unclean animal male mate,0.8591
Genesis 7:3,seven pair kind bird male female kind alive earth,0.8555
Genesis 7:4,seven day send rain earth day night wipe face earth live creature,0.0
Genesis 7:5,noah lord command,0.0
Genesis 7:6,noah year old floodwater come earth,0.0
Genesis 7:7,noah son wife son wife enter ark escape water flood,0.1779
Genesis 7:8,pair clean unclean animal bird creature ground,0.4019
Genesis 7:9,male female come noah enter ark god command noah,0.2732
Genesis 7:10,seven day floodwater come earth,0.0
Genesis 7:11,hundredth year noah life seventeenth day second month day spring great deep burst forth floodgate heaven open,0.8126
Genesis 7:12,rain fall earth day night,0.0
Genesis 7:13,day noah son shem ham japheth wife wife son enter ark,0.0
Genesis 7:14,wild animal accord kind livestock accord kind creature move ground accord kind bird accord kind wing,0.9274
Genesis 7:15,pair creature breath life come noah enter ark,0.0
Genesis 7:16,animal go male female living thing god command noah lord shut,0.2732
Genesis 7:17,day flood keep come earth water increase lift ark high earth,0.3182
Genesis 7:18,water rise increase greatly earth ark float surface water,0.3182
Genesis 7:19,rise greatly earth high mountain entire heaven cover,0.5106
Genesis 7:20,water rise cover mountain depth,0.0
Genesis 7:21,live thing move land perish bird livestock wild animal creature swarm earth mankind,0.0
Genesis 7:22,dry land breath life nostril die,-0.5994
Genesis 7:23,live thing face earth wipe people animal creature ground bird wipe earth noah leave ark,-0.0516
Genesis 7:24,water flood earth day,0.0
Genesis 8:1,god remember noah wild animal livestock ark send wind earth water recede,0.2732
Genesis 8:2,spring deep floodgate heavens close rain stop fall sky,0.128
Genesis 8:3,water recede steadily earth end day water go,0.0
Genesis 8:4,seventeenth day seventh month ark come rest mountain ararat,0.0
Genesis 8:5,water continue recede tenth month day tenth month top mountain visible,0.2023
Genesis 8:6,day noah open window ark,0.0
Genesis 8:7,send raven keep fly forth water dry earth,0.0
Genesis 8:8,send dove water recede surface ground,0.0
Genesis 8:9,dove find perch water surface earth return noah ark reach hand take dove bring ark,0.5106
Genesis 8:10,wait seven day send dove ark,0.0
Genesis 8:11,dove return evening beak freshly pluck olive leaf noah know water recede earth,0.0
Genesis 8:12,wait seven day send dove time return,0.0
Genesis 8:13,day month noah year water dry earth noah remove covering ark see surface ground dry,0.0
Genesis 8:14,seventh day second month earth completely dry,0.0
Genesis 8:15,god say noah,0.2732
Genesis 8:16,come ark wife son wife,0.0
Genesis 8:17,bring kind live creature bird animal creature ground multiply earth fruitful increase number,0.7184
Genesis 8:18,noah come son wife son wife,0.0
Genesis 8:19,animal creature ground bird move land come ark kind,0.5267
Genesis 8:20,noah build altar lord take clean animal clean bird sacrifice burn offering,0.6597
Genesis 8:21,lord smell pleasing aroma say heart curse ground human thougha inclination human heart evil childhood destroy live creature,0.1027
Genesis 8:22,long earth endure seedtime harvest cold heat summer winter day night cease,0.0
Genesis 9:1,god bless noah son say fruitful increase number fill earth,0.7579
Genesis 9:2,fear dread fall beast earth bird sky creature move ground fish sea give hand,-0.4588
Genesis 9:3,live move food give green plant,0.0
Genesis 9:4,eat meat lifeblood,0.0
Genesis 9:5,lifeblood surely demand accounting demand accounting animal human demand accounting life human,0.1027
Genesis 9:6,shed human blood human shall blood shed image god god mankind,0.4939
Genesis 9:7,fruitful increase number multiply earth increase,0.5994
Genesis 9:8,god say noah son,0.2732
Genesis 9:9,establish covenant descendant,0.0
Genesis 9:10,live creature bird livestock wild animal come ark live creature earth,0.0
Genesis 9:11,establish covenant life destroy water flood flood destroy earth,-0.7906
Genesis 9:12,god say sign covenant make live creature covenant generation come,0.2732
Genesis 9:13,set rainbow cloud sign covenant earth,0.0
Genesis 9:14,bring cloud earth rainbow appear cloud,0.0
Genesis 9:15,remember covenant live creature kind water flood destroy life,-0.0258
Genesis 9:16,rainbow appear cloud remember everlasting covenant god live creature kind earth,0.6705
Genesis 9:17,god say noah sign covenant establish life earth,0.2732
Genesis 9:18,son noah come ark shem ham japheth ham father canaan,0.0
Genesis 9:19,son noah come people scatter earth,0.0
Genesis 9:20,noah man soil proceededa plant vineyard,0.0
Genesis 9:21,drink wine drunk lie uncover inside tent,-0.34
Genesis 9:22,ham father canaan see father naked tell brother outside,0.0
Genesis 9:23,shem japheth take garment lay shoulder walk backward cover father naked body face turn way father naked,0.0
Genesis 9:24,noah awake wine find young son,0.0
Genesis 9:25,say curse canaan low slave brother,-0.6808
Genesis 9:26,say praise lord god shem canaan slave shem,0.6908
Genesis 9:27,god extend territory japheth live tent shem canaan slave japheth,0.4215
Genesis 9:28,flood noah live year,0.0
Genesis 9:29,noah live total year die,-0.6344
Genesis 10:1,account shem ham japheth noah son son flood,0.0
Genesis 10:2,sonsa japheth gomer magog madai javan tubal meshek tiras,0.0
Genesis 10:3,son gomer ashkenaz riphath togarmah,0.0
Genesis 10:4,son javan elishah tarshish kittite,0.0
Genesis 10:5,maritime people spread territory clan nation language,0.0
Genesis 10:6,son ham cush egypt canaan,0.0
Genesis 10:7,son cush seba havilah sabtah raamah sabteka son raamah sheba dedan,0.0
Genesis 10:8,cush fatherc nimrod mighty warrior earth,0.0
Genesis 10:9,mighty hunter lord say like nimrod mighty hunter lord,0.3612
Genesis 10:10,center kingdom babylon uruk akkad kalneh ind,0.0
Genesis 10:11,land go assyria build nineveh rehoboth ir f calah,0.0
Genesis 10:12,resen nineveh calah great city,0.6249
Genesis 10:13,egypt father ludites anamites lehabites naphtuhites,0.0
Genesis 10:14,pathrusites kasluhites philistines come caphtorite,0.0
Genesis 10:15,canaan father sidon firstborn g hittites,0.0
Genesis 10:16,jebusites amorites girgashite,0.0
Genesis 10:17,hivites arkites sinites,0.0
Genesis 10:18,arvadites zemarites hamathites later canaanite clan scatter,0.0
Genesis 10:19,border canaan reach sidon gerar far gaza sodom gomorrah admah zeboyim far lasha,0.0258
Genesis 10:20,son ham clan language territory nation,0.0
Genesis 10:21,son bear shem old brother wash japheth shem ancestor son eber,0.0
Genesis 10:22,son shem elam ashur arphaxad lud aram,0.0
Genesis 10:23,son aram uz hul gether,0.0
Genesis 10:24,arphaxad father ofj shelah shelah father eber,0.0
Genesis 10:25,son bear eber name peleg k time earth divide brother name joktan,0.0
Genesis 10:26,joktan father almodad sheleph hazarmaveth jerah,0.0
Genesis 10:27,hadoram uzal diklah,0.0
Genesis 10:28,obal abimael sheba,0.0
Genesis 10:29,ophir havilah jobab son joktan,0.0
Genesis 10:30,region live stretch mesha sephar eastern hill country,0.0
Genesis 10:31,son shem clan language territory nation,0.0
Genesis 10:32,clan noah son accord line descent nation nation spread earth flood,0.0
Genesis 11:1,world language common speech,0.0
Genesis 11:2,people move eastward find plain shinarb settle,0.0
Genesis 11:3,say come let brick bake thoroughly brick instead stone tar mortar,0.0
Genesis 11:4,say come let build city tower reach heavens scatter face earth,0.4215
Genesis 11:5,lord come city tower people build,0.0
Genesis 11:6,lord say people speak language begin plan impossible,0.0
Genesis 11:7,come let confuse language understand,-0.2263
Genesis 11:8,lord scatter earth stop build city,-0.296
Genesis 11:9,call babelc lord confuse language world lord scatter face earth,-0.2263
Genesis 11:10,account shem family line year flood shem year old fatherd arphaxad,0.0
Genesis 11:11,father arphaxad shem live year son daughter,0.0
Genesis 11:12,arphaxad live year father shelah,0.0
Genesis 11:13,father shelah arphaxad live year son,0.0
Genesis 11:14,shelah live year father eber,0.0
Genesis 11:15,father eber shelah live year son daughter,0.0
Genesis 11:16,eber live year father peleg,0.0
Genesis 11:17,father peleg eber live year son daughter,0.0
Genesis 11:18,peleg live year father reu,0.0
Genesis 11:19,father reu peleg live year son daughter,0.0
Genesis 11:20,reu live year father serug,0.0
Genesis 11:21,father serug reu live year son daughter,0.0
Genesis 11:22,serug live year father nahor,0.0
Genesis 11:23,father nahor serug live year son daughter,0.0
Genesis 11:24,nahor live year father terah,0.0
Genesis 11:25,father terah nahor live year son daughter,0.0
Genesis 11:26,terah live year father abram nahor haran,0.0
Genesis 11:27,account terah family line terah father abram nahor haran haran father lot,0.0
Genesis 11:28,father terah alive haran die ur chaldeans land birth,-0.3182
Genesis 11:29,abram nahor marry abram wife sarai nahor wife milkah daughter haran father milkah iskah,0.0
Genesis 11:30,sarai childless able conceive,0.0
Genesis 11:31,terah take son abram grandson lot son haran daughter law sarai wife son abram set ur chaldeans canaan come harran settle,0.0
Genesis 11:32,terah live year die harran,-0.5994
Genesis 12:1,lord say abram country people father household land,0.0
Genesis 12:2,great nation bless great,0.9001
Genesis 12:3,bless bless curse curse people earth bless,0.1027
Genesis 12:4,abram go lord tell lot go abram seventy year old set harran,0.0
Genesis 12:5,take wife sarai nephew lot possession accumulate people acquire harran set land canaan arrive,0.0
Genesis 12:6,abram travel land far site great tree moreh shechem time canaanites land,0.6249
Genesis 12:7,lord appear abram say offspringc land build altar lord appear,0.0
Genesis 12:8,go hill east bethel pitch tent bethel west ai east build altar lord call lord,0.0
Genesis 12:9,abram set continue negev,0.0
Genesis 12:10,famine land abram go egypt live famine severe,-0.3818
Genesis 12:11,enter egypt say wife sarai know beautiful woman,0.5994
Genesis 12:12,egyptians wife kill let live,-0.6908
Genesis 12:13,sister treat sake life spare,0.4019
Genesis 12:14,abram come egypt egyptians see sarai beautiful woman,0.5994
Genesis 12:15,pharaoh official see praise pharaoh take palace,0.5574
Genesis 12:16,treat abram sake abram acquire sheep cattle male female donkey male female servant camel,0.4019
Genesis 12:17,lord inflict disease pharaoh household abram wife sarai,0.0
Genesis 12:18,pharaoh summon abram say tell wife,0.0
Genesis 12:19,sister take wife wife,0.0
Genesis 12:20,pharaoh give order abram man send way wife,0.0
Genesis 13:1,abram go egypt negev wife lot go,0.0
Genesis 13:2,abram wealthy livestock silver gold,0.3612
Genesis 13:3,negev go place place come bethel place bethel ai tent early,0.0
Genesis 13:4,build altar abram call lord,0.0
Genesis 13:5,lot move abram flock herd tent,0.0
Genesis 13:6,land support stay possession great able stay,0.7783
Genesis 13:7,quarrel arise abram herder lot canaanites perizzites live land time,0.0
Genesis 13:8,abram say lot let quarreling herder close relative,0.0
Genesis 13:9,land let company left right right left,0.0
Genesis 13:10,lot look see plain jordan zoar water like garden lord like land egypt lord destroy sodom gomorrah,0.128
Genesis 13:11,lot choose plain jordan set east man part company,0.0
Genesis 13:12,abram live land canaan lot live city plain pitch tent near sodom,0.0
Genesis 13:13,people sodom wicked sin greatly lord,-0.7906
Genesis 13:14,lord say abram lot part look north south east west,0.0
Genesis 13:15,land offspringa forever,0.0
Genesis 13:16,offspring like dust earth count dust offspring count,0.3612
Genesis 13:17,walk length breadth land give,0.0
Genesis 13:18,abram go live near great tree mamre hebron pitch tent build altar lord,0.6249
Genesis 14:1,time amraphel king shinar arioch king ellasar kedorlaomer king elam tidal king goy,0.0
Genesis 14:2,king go war bera king sodom birsha king gomorrah shinab king admah shemeber king zeboyim king bela zoar,-0.5994
Genesis 14:3,king join force valley siddim dead sea valley,-0.4767
Genesis 14:4,year subject kedorlaomer thirteenth year rebel,-0.1531
Genesis 14:5,fourteenth year kedorlaomer king ally go defeat rephaite ashteroth karnaim zuzites ham emite shaveh kiriathaim,-0.4588
Genesis 14:6,horite hill country seir far el paran near desert,0.0
Genesis 14:7,turn go en mishpat kadesh conquer territory amalekites amorite live hazezon tamar,0.0
Genesis 14:8,king sodom king gomorrah king admah king zeboyim king bela zoar march draw battle line valley siddim,-0.3818
Genesis 14:9,kedorlaomer king elam tidal king goy amraphel king shinar arioch king ellasar king,0.0
Genesis 14:10,valley siddim tar pit king sodom gomorrah flee man fall rest flee hill,0.0
Genesis 14:11,king seize good sodom gomorrah food go away,0.4404
Genesis 14:12,carry abram nephew lot possession live sodom,0.0
Genesis 14:13,man escape come report abram hebrew abram live near great tree mamre amorite brotherb eshkol aner ally abram,0.7003
Genesis 14:14,abram hear relative take captive call train man bear household go pursuit far dan,0.0
Genesis 14:15,night abram divide man attack route pursue far hobah north damascus,-0.4767
Genesis 14:16,recover good bring relative lot possession woman people,0.4404
Genesis 14:17,abram return defeat kedorlaomer king ally king sodom come meet valley shaveh king valley,-0.4588
Genesis 14:18,melchizedek king salem bring bread wine priest god high,0.2732
Genesis 14:19,bless abram say bless abram god high creator heaven earth,0.875
Genesis 14:20,praise god high deliver enemy hand abram give tenth,0.6597
Genesis 14:21,king sodom say abram people good,0.4404
Genesis 14:22,abram say king sodom raised hand swear oath lord god high creator heaven earth,0.8126
Genesis 14:23,accept belong thread strap sandal able abram rich,0.7351
Genesis 14:24,accept man eat share belong man go aner eshkol mamre let share,0.7184
Genesis 15:1,word lord come abram vision afraid abram shield ayour great,0.7269
Genesis 15:2,abram say sovereign lord remain childless inheritc estate eliezer damascus,0.0
Genesis 15:3,abram say give child servant household heir,0.0
Genesis 15:4,word lord come man heir son flesh blood heir,0.0
Genesis 15:5,take outside say look sky count star count say shall offspringd,0.0
Genesis 15:6,abram believe lord credit righteousness,0.3818
Genesis 15:7,say lord bring ur chaldeans land possession,0.0
Genesis 15:8,abram say sovereign lord know gain possession,0.5267
Genesis 15:9,lord say bring heifer goat ram year old dove young pigeon,0.0
Genesis 15:10,abram bring cut arrange half opposite bird cut half,-0.4939
Genesis 15:11,bird prey come carcass abram drive away,0.0
Genesis 15:12,sun set abram fall deep sleep thick dreadful darkness come,-0.5994
Genesis 15:13,lord say know certain year descendant stranger country enslave mistreat,-0.4588
Genesis 15:14,punish nation serve slave afterward come great possession,0.1779
Genesis 15:15,ancestor peace bury good old age,0.7506
Genesis 15:16,fourth generation descendant come sin amorites reach measure,-0.5423
Genesis 15:17,sun set darkness fall smoking firepot blaze torch appear pass piece,-0.25
Genesis 15:18,day lord covenant abram say descendant land wadie egypt great river euphrates,0.6249
Genesis 15:19,land kenites kenizzite kadmonites,0.0
Genesis 15:20,hittites perizzites rephaites,0.0
Genesis 15:21,amorites canaanites girgashite jebusite,0.0
Genesis 16:1,sarai abram wife bear child egyptian slave name hagar,0.0
Genesis 16:2,say abram lord keep have child sleep slave build family abram agree sarai say,0.3612
Genesis 16:3,abram live canaan year sarai wife take egyptian slave hagar give husband wife,0.0
Genesis 16:4,sleep hagar conceive know pregnant begin despise mistress,-0.34
Genesis 16:5,sarai say abram responsible wrong suffer slave arm know pregnant despise lord judge,-0.7717
Genesis 16:6,slave hand abram say think best sarai mistreat hagar flee,0.8126
Genesis 16:7,angel lord find hagar near spring desert spring road shur,0.0
Genesis 16:8,say hagar slave sarai come go run away mistress sarai answer,0.0
Genesis 16:9,angel lord tell mistress submit,0.0
Genesis 16:10,angel add increase descendant numerous count,0.3182
Genesis 16:11,angel lord say pregnant birth son shall ishmael afor lord hear misery,-0.5719
Genesis 16:12,wild donkey man hand hand live hostility towardb brother,0.4404
Genesis 16:13,give lord speak god see say seenc see,0.2732
Genesis 16:14,call beer lahai roid kadesh bere,0.0
Genesis 16:15,hagar bear abram son abram give ishmael son bear,0.0
Genesis 16:16,abram eighty year old hagar bear ishmael,0.0
Genesis 17:1,abram ninety year old lord appear say god almightya walk faithfully blameless,0.6808
Genesis 17:2,covenant greatly increase number,0.489
Genesis 17:3,abram fall facedown god say,0.2732
Genesis 17:4,covenant father nation,0.0
Genesis 17:5,longer call abramb abraham c father nation,0.0
Genesis 17:6,fruitful nation king come,0.0
Genesis 17:7,establish covenant everlasting covenant descendant generation come god god descendant,0.4939
Genesis 17:8,land canaan reside foreigner everlasting possession descendant god,0.2732
Genesis 17:9,god say abraham covenant descendant generation come,0.2732
Genesis 17:10,covenant descendant covenant male shall circumcise,0.0
Genesis 17:11,undergo circumcision sign covenant,0.0
Genesis 17:12,generation come male day old circumcise include bear household buy money foreigner offspring,0.0
Genesis 17:13,bear household buy money circumcise covenant flesh everlasting covenant,0.0
Genesis 17:14,uncircumcised male circumcise flesh cut people break covenant,-0.2732
Genesis 17:15,god say abraham sarai wife long sarai sarah,0.2732
Genesis 17:16,bless surely son bless mother nation king people come,0.8176
Genesis 17:17,abraham fall facedown laugh say son bear man year old sarah bear child age ninety,0.5574
Genesis 17:18,abraham say god ishmael live blessing,0.6486
Genesis 17:19,god say yes wife sarah bear son establish covenant everlasting covenant descendant,0.5859
Genesis 17:20,ishmael hear surely bless fruitful greatly increase number father ruler great nation,0.9181
Genesis 17:21,covenant establish isaac sarah bear time year,0.0
Genesis 17:22,finish speak abraham god go,0.2732
Genesis 17:23,day abraham take son ishmael bear household buy money male household circumcise god tell,0.2732
Genesis 17:24,abraham ninety year old circumcise,0.0
Genesis 17:25,son ishmael thirteen,0.0
Genesis 17:26,abraham son ishmael circumcise day,0.0
Genesis 17:27,male abraham household include bear household buy foreigner circumcise,0.0
Genesis 18:1,lord appear abraham near great tree mamre sit entrance tent heat day,0.6249
Genesis 18:2,abraham look see man stand nearby see hurry entrance tent meet bow low ground,-0.2732
Genesis 18:3,say find favor eye lord pass servant,0.4019
Genesis 18:4,let little water bring wash foot rest tree,0.0
Genesis 18:5,let eat refresh way come servant answer,0.0
Genesis 18:6,abraham hurry tent sarah quick say seahsb fine flour knead bake bread,0.2023
Genesis 18:7,run herd select choice tender calf give servant hurry prepare,0.0
Genesis 18:8,bring curd milk calf prepare set eat stand near tree,0.0
Genesis 18:9,wife sarah ask tent say,0.0
Genesis 18:10,say surely return time year sarah wife son sarah listen entrance tent,0.4404
Genesis 18:11,abraham sarah old sarah past age childbearing,0.0
Genesis 18:12,sarah laugh think wear lord old pleasure,0.8074
Genesis 18:13,lord say abraham sarah laugh child old,0.5574
Genesis 18:14,hard lord return appoint time year sarah son,-0.1027
Genesis 18:15,sarah afraid lie say laugh say yes laugh,0.872
Genesis 18:16,man get leave look sodom abraham walk way,-0.0516
Genesis 18:17,lord say shall hide abraham,-0.1779
Genesis 18:18,abraham surely great powerful nation nation earth bless,0.9118
Genesis 18:19,choose direct child household way lord right lord bring abraham promise,0.3182
Genesis 18:20,lord say outcry sodom gomorrah great sin grievous,-0.7003
